City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,27.88,70,76,4.83,broken clouds
1,Mataura,NZ,-46.1927,168.8643,40.48,95,99,12.12,light rain
2,Tomatlan,MX,19.9333,-105.25,73.45,95,89,1.66,overcast clouds
3,Caravelas,BR,-17.7125,-39.2481,73.96,82,60,10.04,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,17.27,broken clouds
5,Kapaa,US,22.0752,-159.319,82.38,75,40,13.8,scattered clouds
6,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,40,11.32,scattered clouds
7,Kitui,KE,-1.367,38.0106,65.43,58,6,8.03,clear sky
8,Klaksvik,FO,62.2266,-6.589,49.12,84,14,34.69,light rain
9,Nandurbar,IN,21.3667,74.25,86.81,50,40,11.39,scattered clouds
10,Albany,US,42.6001,-73.9662,52.39,81,100,4.34,overcast clouds
11,Spasskoye,RU,44.6108,132.7969,46.54,31,2,8.32,clear sky
12,Jamestown,US,42.097,-79.2353,49.64,70,0,10.36,clear sky
13,Leh,IN,34.1667,77.5833,46.67,44,2,4.94,clear sky
14,Chuy,UY,-33.6971,-53.4616,52.77,93,0,4.72,clear sky
15,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.9,light rain
16,Vaini,TO,-21.2,-175.2,73.56,94,75,10.36,thunderstorm
17,Port Alfred,ZA,-33.5906,26.891,60.53,85,0,8.7,clear sky
18,Dikson,RU,73.5069,80.5464,32.04,76,100,17.45,overcast clouds
19,Swakopmund,NA,-22.6833,14.5333,53.98,87,10,3.0,clear sky
20,Bintulu,MY,3.1667,113.0333,84.61,79,40,4.61,scattered clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,68.13,86,100,4.9,overcast clouds
22,Skegness,GB,53.1436,0.3363,62.67,83,100,25.57,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,18.41,scattered clouds
24,Zhigansk,RU,66.7697,123.3711,27.28,73,100,6.15,overcast clouds
25,Avarua,CK,-21.2078,-159.775,75.25,73,20,18.41,few clouds
26,Bredasdorp,ZA,-34.5322,20.0403,49.51,78,53,4.79,broken clouds
27,Makat,KZ,47.6469,53.3463,57.36,28,87,19.66,overcast clouds
28,Barrow,US,71.2906,-156.7887,32.02,86,100,6.91,overcast clouds
29,Atuona,PF,-9.8,-139.0333,76.8,69,23,21.92,few clouds
30,Victoria,HK,22.2855,114.1577,91.45,76,50,8.99,scattered clouds
31,Butaritari,KI,3.0707,172.7902,82.2,73,57,17.2,broken clouds
32,North Bend,US,43.4065,-124.2243,58.24,94,100,3.44,overcast clouds
33,Saskylakh,RU,71.9167,114.0833,27.0,96,100,9.26,light snow
34,Severo-Kurilsk,RU,50.6789,156.125,45.34,69,97,24.18,overcast clouds
35,Busselton,AU,-33.65,115.3333,57.49,61,75,18.81,broken clouds
36,Cherskiy,RU,68.75,161.3,29.3,56,11,11.12,few clouds
37,Puerto Narino,CO,-3.7703,-70.3831,75.54,80,75,1.21,broken clouds
38,Nanortalik,GL,60.1432,-45.2371,38.12,92,100,21.79,light rain
39,Rikitea,PF,-23.1203,-134.9692,70.29,62,89,23.69,overcast clouds
40,Fortuna,US,40.5982,-124.1573,58.93,82,66,1.99,broken clouds
41,Santa Maria,BR,-29.6842,-53.8069,49.62,93,0,7.25,clear sky
42,Rovaniemi,FI,66.5,25.7167,40.41,93,75,5.75,broken clouds
43,Neka,IR,36.6508,53.299,65.71,94,0,2.3,clear sky
44,San Policarpo,PH,12.1791,125.5072,85.03,71,100,6.96,light rain
45,Ponta Do Sol,PT,32.6667,-17.1,71.71,68,76,4.25,broken clouds
46,Pacific Grove,US,36.6177,-121.9166,62.24,91,20,11.99,few clouds
47,Khatanga,RU,71.9667,102.5,29.23,97,99,5.86,light snow
48,Tabuk,PH,17.4189,121.4443,87.85,66,29,3.11,scattered clouds
49,Korla,CN,41.7597,86.1469,61.18,19,6,14.88,clear sky
50,Ushuaia,AR,-54.8,-68.3,42.46,81,0,6.91,clear sky
51,Hermanus,ZA,-34.4187,19.2345,44.8,78,52,5.28,broken clouds
52,Cape Town,ZA,-33.9258,18.4232,58.37,65,0,6.91,clear sky
53,Pemba,MZ,-12.974,40.5178,74.1,100,20,4.61,few clouds
54,Bambous Virieux,MU,-20.3428,57.7575,75.22,68,40,11.5,scattered clouds
55,Isangel,VU,-19.55,169.2667,76.51,62,26,12.57,scattered clouds
56,Walvis Bay,NA,-22.9575,14.5053,54.09,93,0,9.22,clear sky
57,Dingle,PH,10.9995,122.6711,88.14,66,96,10.42,overcast clouds
58,Bundaberg,AU,-24.85,152.35,74.21,56,100,4.0,overcast clouds
59,Tiksi,RU,71.6872,128.8694,22.73,83,100,16.31,overcast clouds
60,Rapid Valley,US,44.0625,-103.1463,58.37,69,95,7.0,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,59.31,86,75,6.91,broken clouds
62,Saint-Augustin,CA,51.226,-58.6502,51.44,80,100,8.28,overcast clouds
63,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,64.17,42,0,7.45,clear sky
64,Seoul,KR,37.5683,126.9778,67.57,50,75,5.75,broken clouds
65,Palasa,IN,18.7667,84.4167,84.25,79,100,7.02,overcast clouds
66,Shache,CN,38.4167,77.2406,64.04,18,78,3.56,broken clouds
67,Nonthaburi,TH,13.75,100.5,86.97,78,100,4.88,overcast clouds
68,Thompson,CA,55.7435,-97.8558,41.16,81,75,0.0,broken clouds
69,Hobart,AU,-42.8794,147.3294,55.26,62,99,1.99,overcast clouds
70,Fonte Boa,BR,-2.4959,-66.2662,73.56,91,83,1.74,broken clouds
71,Ende,ID,-8.8432,121.6623,83.35,77,67,3.71,broken clouds
72,Castro,BR,-24.7911,-50.0119,57.56,92,47,7.49,scattered clouds
73,Tuatapere,NZ,-46.1333,167.6833,36.01,72,100,19.04,light rain
74,East London,ZA,-33.0153,27.9116,61.74,82,0,6.91,clear sky
75,Bahar,IR,34.9072,48.4414,55.56,24,0,6.91,clear sky
76,Codrington,AU,-38.2667,141.9667,53.37,96,100,16.15,light rain
77,Gusau,NG,12.1628,6.6614,74.16,79,75,6.08,broken clouds
78,Maracai,BR,-22.6106,-50.6672,67.93,79,0,7.34,clear sky
79,Mar Del Plata,AR,-38.0023,-57.5575,55.94,84,0,7.0,clear sky
80,Chiman,PK,32.5463,73.8138,85.32,40,0,5.01,clear sky
81,Bluff,NZ,-46.6,168.3333,40.8,63,96,29.84,overcast clouds
82,Namibe,AO,-15.1961,12.1522,64.62,89,76,4.92,broken clouds
83,Oistins,BB,13.0667,-59.5333,80.69,83,75,33.38,broken clouds
84,Sept-Iles,CA,50.2001,-66.3821,48.72,97,100,4.61,overcast clouds
85,Guerrero Negro,MX,27.9769,-114.0611,70.05,80,3,12.64,clear sky
86,Saint-Francois,FR,46.4154,3.9054,45.84,100,100,2.3,fog
87,Yellowknife,CA,62.456,-114.3525,34.32,64,75,10.36,broken clouds
88,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
89,Porto Santo,PT,33.072,-16.3415,70.18,78,20,11.5,few clouds
90,Ola,RU,59.5833,151.2833,34.14,89,100,1.41,light snow
91,Salina Cruz,MX,16.1667,-95.2,76.53,79,29,12.62,scattered clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,31,7.0,scattered clouds
93,Port Blair,IN,11.6667,92.75,84.24,79,75,5.75,broken clouds
94,Zyryanka,RU,65.75,150.85,26.2,60,100,25.64,overcast clouds
95,Alta Floresta,BR,-9.8756,-56.0861,71.67,87,58,2.46,broken clouds
96,Chicama,PE,-7.8447,-79.1469,57.74,85,41,6.82,scattered clouds
97,Tasiilaq,GL,65.6145,-37.6368,32.16,62,2,6.76,clear sky
98,Nsukka,NG,6.8561,7.3927,68.77,99,100,3.2,overcast clouds
99,Yangliuqing,CN,39.1375,116.9997,60.75,22,52,4.0,broken clouds
100,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,47,0,13.8,clear sky
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.63,94,100,4.56,overcast clouds
102,Praia,CV,14.9215,-23.5087,75.74,88,20,4.61,few clouds
103,Westport,US,41.1415,-73.3579,57.88,88,100,19.57,overcast clouds
104,Goderich,CA,43.7501,-81.7165,44.92,93,8,2.3,clear sky
105,Suoyarvi,RU,62.0833,32.35,43.72,96,90,4.09,overcast clouds
106,Georgetown,MY,5.4112,100.3354,84.88,81,20,9.22,few clouds
107,Mahebourg,MU,-20.4081,57.7,75.25,68,40,11.5,scattered clouds
108,Dubuque,US,42.4833,-90.8668,55.85,62,0,5.75,clear sky
109,Rawson,AR,-43.3002,-65.1023,58.64,46,72,16.37,broken clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,79.61,77,2,5.08,clear sky
111,Vao,NC,-22.6667,167.4833,69.13,60,4,9.55,clear sky
112,Ballarat,AU,-37.5662,143.8496,49.86,98,100,12.26,light rain
113,Faanui,PF,-16.4833,-151.75,78.58,70,11,24.27,few clouds
114,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,20.71,light rain
115,Norman Wells,CA,65.282,-126.8329,39.24,81,100,13.8,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,35.53,87,95,19.77,overcast clouds
117,Naryan-Mar,RU,67.6713,53.087,40.24,87,100,10.87,overcast clouds
118,Talnakh,RU,69.4865,88.3972,33.21,97,99,2.3,overcast clouds
119,Tanout,NE,14.9709,8.8879,85.93,21,86,8.5,overcast clouds
120,Provideniya,RU,64.3833,-173.3,37.51,93,75,11.18,broken clouds
121,Havelock,US,34.8791,-76.9013,58.95,87,7,5.1,clear sky
122,Amahai,ID,-3.3333,128.9167,84.51,70,96,5.46,overcast clouds
123,Birao,CF,10.2849,22.7882,70.43,86,99,3.71,overcast clouds
124,Christchurch,NZ,-43.5333,172.6333,48.94,58,100,3.44,light rain
125,Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,23.02,light rain
126,Grenville,GD,12.1167,-61.6167,80.65,83,91,10.89,overcast clouds
127,Luderitz,NA,-26.6481,15.1594,53.19,80,21,14.97,few clouds
128,Xinqing,CN,48.2333,129.5,41.74,29,70,11.21,broken clouds
129,Neyshabur,IR,36.2133,58.7958,69.42,21,0,2.42,clear sky
130,Gari,RU,59.4307,62.3497,47.97,63,99,5.93,overcast clouds
131,Belaya Gora,RU,68.5333,146.4167,24.6,72,96,5.59,overcast clouds
132,Warburg,DE,51.5,9.1667,55.26,93,0,8.05,clear sky
133,Kahului,US,20.8947,-156.47,78.82,82,75,12.66,broken clouds
134,Egvekinot,RU,66.3167,-179.1667,24.4,84,95,4.52,overcast clouds
135,Labrea,BR,-7.2586,-64.7981,76.08,71,60,2.15,broken clouds
136,Megion,RU,61.0296,76.1136,41.02,73,72,11.79,broken clouds
137,Geraldton,AU,-28.7667,114.6,68.41,60,100,12.66,overcast clouds
138,Kodiak,US,57.79,-152.4072,51.31,87,100,20.71,mist
139,Qujing,CN,25.4833,103.7833,72.52,60,49,14.36,scattered clouds
140,Maragogi,BR,-9.0122,-35.2225,74.03,82,38,5.79,scattered clouds
141,Tulagi,SB,-9.0996,160.1476,84.63,63,15,14.03,few clouds
142,Mbamba,NG,9.9833,13.1,71.2,89,100,1.7,overcast clouds
143,Harper,LR,4.375,-7.7169,76.53,90,100,5.08,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,82.53,71,97,17.78,overcast clouds
145,Maur,IN,30.0833,75.25,86.58,50,0,4.92,clear sky
146,Hilo,US,19.7297,-155.09,80.33,80,75,3.44,broken clouds
147,Torbay,CA,47.6666,-52.7314,49.26,90,0,16.11,clear sky
148,Itarema,BR,-2.9248,-39.9167,77.02,80,39,16.49,scattered clouds
149,Talara,PE,-4.5772,-81.2719,63.3,81,75,16.71,broken clouds
150,Mahon,ES,39.8885,4.2658,63.16,94,40,4.61,scattered clouds
151,Saint George,US,37.1041,-113.5841,77.59,28,0,5.75,clear sky
152,Mackay,AU,-21.15,149.2,72.68,61,98,12.75,overcast clouds
153,Boyolangu,ID,-8.1181,111.8935,81.41,73,91,10.67,overcast clouds
154,Tatarsk,RU,55.219,75.9828,48.18,73,100,7.4,overcast clouds
155,Cockburn Town,TC,21.4612,-71.1419,82.29,78,99,6.71,overcast clouds
156,Sorong,ID,-0.8833,131.25,82.36,76,80,2.64,broken clouds
157,Bethel,US,41.3712,-73.414,55.76,88,100,11.5,overcast clouds
158,Plettenberg Bay,ZA,-34.0527,23.3716,55.45,75,5,3.87,clear sky
159,Vila Velha,BR,-20.3297,-40.2925,69.75,96,100,6.91,moderate rain
160,Fort Nelson,CA,58.8053,-122.7002,40.59,81,75,5.75,broken clouds
161,Qui Nhon,VN,13.7667,109.2333,82.44,80,96,8.95,overcast clouds
162,Redlands,US,34.0556,-117.1825,78.33,68,0,6.91,clear sky
163,Tessalit,ML,20.1986,1.0114,85.75,20,7,9.51,clear sky
164,Samsun,TR,41.25,36.3333,59.99,99,75,6.91,broken clouds
165,Rocha,UY,-34.4833,-54.3333,48.24,91,0,3.91,clear sky
166,Nikolskoye,RU,59.7035,30.7861,45.81,97,71,4.09,broken clouds
167,Bousse,BF,12.6606,-1.8922,75.78,75,56,6.91,broken clouds
168,Belyy Yar,RU,53.6039,91.3903,37.85,64,0,4.47,clear sky
169,Taywarah,AF,33.35,64.4167,57.97,9,0,4.85,clear sky
170,Altagracia De Orituco,VE,9.8601,-66.3814,70.54,97,87,3.53,overcast clouds
171,Kavieng,PG,-2.5744,150.7967,84.81,65,61,16.02,broken clouds
172,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,41,0,8.05,clear sky
173,Qaanaaq,GL,77.484,-69.3632,16.5,81,100,5.44,overcast clouds
174,Yulara,AU,-25.2406,130.9889,81.79,24,0,8.93,clear sky
175,Oktyabrskiy,RU,54.4815,53.471,48.81,32,100,10.98,overcast clouds
176,Sehnde,DE,52.3139,9.9682,55.74,83,100,8.08,overcast clouds
177,Groton,US,41.3501,-72.0784,58.08,94,100,7.0,light rain
178,Vostok,RU,46.4856,135.8833,35.92,43,64,11.92,broken clouds
179,Taft,IR,31.7471,54.2088,69.75,21,0,4.61,clear sky
180,Esso,RU,55.9333,158.7,36.95,87,96,8.14,overcast clouds
181,Vagur,FO,61.4732,-6.8119,48.92,87,42,35.43,light rain
182,Lebu,CL,-37.6167,-73.65,47.79,93,14,3.06,few clouds
183,Lompoc,US,34.6391,-120.4579,60.94,93,100,3.44,fog
184,Gat,IL,31.61,34.7642,75.4,71,0,1.19,clear sky
185,Stornoway,GB,58.2093,-6.3865,49.96,92,75,13.8,broken clouds
186,Marolambo,MG,-20.05,48.1167,72.34,56,8,2.35,clear sky
187,Kumhari,IN,21.2667,81.5167,80.94,82,99,6.29,overcast clouds
188,Nouadhibou,MR,20.931,-17.0347,73.76,81,77,16.8,broken clouds
189,Aginskoye,RU,51.1,114.53,38.75,34,34,10.87,scattered clouds
190,Palmer,US,42.1584,-72.3287,54.25,83,100,1.01,overcast clouds
191,Alice Springs,AU,-23.7,133.8833,88.21,40,40,11.5,scattered clouds
192,Kirov,RU,58.5966,49.6601,41.63,88,100,10.78,overcast clouds
193,Mbulu,TZ,-3.85,35.5333,57.7,78,60,10.33,broken clouds
194,Rincon,US,32.296,-81.2354,62.85,90,0,0.0,clear sky
195,Reinosa,ES,42.9996,-4.138,50.47,58,0,6.58,clear sky
196,Eureka,US,40.8021,-124.1637,59.2,82,68,1.99,broken clouds
197,Kuching,MY,1.55,110.3333,80.82,83,20,3.44,few clouds
198,Ocos,GT,14.5094,-92.1933,80.58,77,100,2.68,overcast clouds
199,Clyde River,CA,70.4692,-68.5914,25.03,86,100,19.57,light snow
200,Airai,TL,-8.9266,125.4092,73.02,68,87,2.28,overcast clouds
201,Belen,TR,36.4891,36.2233,55.54,100,40,1.14,scattered clouds
202,Aktash,RU,50.3,87.7333,37.65,21,11,2.26,few clouds
203,San Quintin,MX,30.4833,-115.95,68.83,85,16,5.61,few clouds
204,Urucara,BR,-2.5364,-57.76,75.78,76,24,1.14,few clouds
205,Lawton,US,34.6087,-98.3903,66.43,47,0,8.05,clear sky
206,Boueni,YT,-12.9025,45.0761,76.98,77,32,5.3,light rain
207,Necochea,AR,-38.5473,-58.7368,45.81,92,34,12.24,scattered clouds
208,Cidreira,BR,-30.1811,-50.2056,58.96,87,2,5.26,clear sky
209,Berlevag,NO,70.8578,29.0864,42.8,87,100,3.44,overcast clouds
210,Visnes,NO,59.3556,5.2242,53.22,93,20,6.91,few clouds
211,Yaan,NG,7.3833,8.5667,71.58,97,97,4.54,overcast clouds
212,Saldanha,ZA,-33.0117,17.9442,42.85,70,66,6.04,broken clouds
213,Ciudad Dario,NI,12.7314,-86.124,70.18,94,100,3.8,overcast clouds
214,Ryotsu,JP,38.0833,138.4333,59.61,65,100,9.42,light rain
215,Ferrol,ES,43.4832,-8.2369,58.33,87,2,7.74,clear sky
216,Rafaela,AR,-31.2503,-61.4867,62.01,45,15,4.0,few clouds
217,Rudnyy,KZ,52.9594,63.1206,43.03,28,73,8.32,broken clouds
218,San Cristobal,VE,7.7669,-72.225,71.78,97,99,0.89,overcast clouds
219,Shellbrook,CA,53.2168,-106.4011,47.43,60,46,7.78,scattered clouds
220,Port Lincoln,AU,-34.7333,135.8667,64.62,69,83,13.09,broken clouds
221,Krasnoselkup,RU,65.7,82.4667,34.47,97,100,12.03,overcast clouds
222,Susangerd,IR,31.5608,48.1831,93.04,10,0,6.13,clear sky
223,Wahpeton,US,46.2652,-96.6059,59.94,82,75,3.44,broken clouds
224,Hualmay,PE,-11.0964,-77.6139,60.28,83,33,9.66,scattered clouds
225,Olafsvik,IS,64.8945,-23.7142,41.97,87,100,28.81,overcast clouds
226,Matara,LK,5.9485,80.5353,83.73,70,97,15.64,overcast clouds
227,Kamaishi,JP,39.2667,141.8833,61.02,59,96,0.81,light rain
228,Katsuura,JP,35.1333,140.3,69.58,87,100,22.41,light rain
229,Yaring,TH,6.8662,101.3689,86.72,63,82,5.08,broken clouds
230,Susurluk,TR,39.9136,28.1578,62.38,82,0,3.31,clear sky
231,Lubumbashi,CD,-11.6609,27.4794,65.64,32,39,4.56,scattered clouds
232,San Jose Iturbide,MX,21.0,-100.3833,59.59,92,92,4.76,overcast clouds
233,Hami,CN,42.8,93.45,59.94,40,96,5.14,overcast clouds
234,Salalah,OM,17.0151,54.0924,78.89,78,75,2.3,broken clouds
235,Ayorou,NE,14.7308,0.9174,85.14,59,9,7.78,clear sky
236,New Norfolk,AU,-42.7826,147.0587,54.91,45,98,9.01,overcast clouds
